"paper_id","paper_name","finish","line","composition","grams","notes","currency","price_clp","price_display","roll_width_cm","measure_label","requested_width_cm","requested_length_cm","billed_width_cm","billed_length_cm","is_alias_size"
"felix_schoeller_smooth_200","Felix Schoeller Smooth 200grs","mate","Studio/Photo","alfa-celulosa","200","acabado liso y opaco","CLP","9990","9.990","60","60x20cm","60","20","60","20","False"
"felix_schoeller_satin_240","Felix Schoeller Satin 240grs","semi brillante satinado","Studio/Photo","alfa-celulosa","240","semi brillo que refleja menos que fotográfico","CLP","9990","9.990","60","60x20cm","60","20","60","20","False"
"hahnemuhle_photo_luster_260","Hahnemühle Photo Luster 260grs","semi brillante (luster)","Studio/Photo","alfa-celulosa","260","tipo fotográfico, textura perlada suave","CLP","11990","11.990","60","60x20cm","60","20","60","20","False"
"canson_edition_etching_rag_310","Canson Edition Etching Rag 310grs","mate grano fino","Museo","100% algodón","310","textura de grano fino","CLP","14990","14.990","60","60x20cm","60","20","60","20","False"
"felix_schoeller_baryta_310","Felix Schoeller Baryta 310grs","baritado (baryta)","Museo","algodón (según proveedor)","310","evoca fotografía de cuarto oscuro; negros profundos","CLP","12990","12.990","60","60x20cm","60","20","60","20","False"
"canson_platine_fibre_rag_310","Canson Platine Fibre Rag 310grs","semi brillante (algodón)","Museo","100% algodón","310","acabado baritado, negros profundos","CLP","14990","14.990","60","60x20cm","60","20","60","20","False"
"felix_schoeller_watercolor_rag_310","Felix Schoeller Watercolor Rag 310grs","texturado mate (algodón)","Museo","100% algodón","310","texturado tipo acuarela","CLP","12990","12.990","60","60x20cm","60","20","60","20","False"
"felix_schoeller_smooth_200","Felix Schoeller Smooth 200grs","mate","Studio/Photo","alfa-celulosa","200","acabado liso y opaco","CLP","11490","11.490","60","60x25cm","60","25","60","25","False"
"felix_schoeller_satin_240","Felix Schoeller Satin 240grs","semi brillante satinado","Studio/Photo","alfa-celulosa","240","semi brillo que refleja menos que fotográfico","CLP","11490","11.490","60","60x25cm","60","25","60","25","False"
"hahnemuhle_photo_luster_260","Hahnemühle Photo Luster 260grs","semi brillante (luster)","Studio/Photo","alfa-celulosa","260","tipo fotográfico, textura perlada suave","CLP","12490","12.490","60","60x25cm","60","25","60","25","False"
"canson_edition_etching_rag_310","Canson Edition Etching Rag 310grs","mate grano fino","Museo","100% algodón","310","textura de grano fino","CLP","17990","17.990","60","60x25cm","60","25","60","25","False"
"felix_schoeller_baryta_310","Felix Schoeller Baryta 310grs","baritado (baryta)","Museo","algodón (según proveedor)","310","evoca fotografía de cuarto oscuro; negros profundos","CLP","15490","15.490","60","60x25cm","60","25","60","25","False"
"canson_platine_fibre_rag_310","Canson Platine Fibre Rag 310grs","semi brillante (algodón)","Museo","100% algodón","310","acabado baritado, negros profundos","CLP","17990","17.990","60","60x25cm","60","25","60","25","False"
"felix_schoeller_watercolor_rag_310","Felix Schoeller Watercolor Rag 310grs","texturado mate (algodón)","Museo","100% algodón","310","texturado tipo acuarela","CLP","15490","15.490","60","60x25cm","60","25","60","25","False"
"felix_schoeller_smooth_200","Felix Schoeller Smooth 200grs","mate","Studio/Photo","alfa-celulosa","200","acabado liso y opaco","CLP","12990","12.990","60","60x30cm","60","30","60","30","False"
"felix_schoeller_satin_240","Felix Schoeller Satin 240grs","semi brillante satinado","Studio/Photo","alfa-celulosa","240","semi brillo que refleja menos que fotográfico","CLP","13490","13.490","60","60x30cm","60","30","60","30","False"
"hahnemuhle_photo_luster_260","Hahnemühle Photo Luster 260grs","semi brillante (luster)","Studio/Photo","alfa-celulosa","260","tipo fotográfico, textura perlada suave","CLP","14490","14.490","60","60x30cm","60","30","60","30","False"
"canson_edition_etching_rag_310","Canson Edition Etching Rag 310grs","mate grano fino","Museo","100% algodón","310","textura de grano fino","CLP","20490","20.490","60","60x30cm","60","30","60","30","False"
"felix_schoeller_baryta_310","Felix Schoeller Baryta 310grs","baritado (baryta)","Museo","algodón (según proveedor)","310","evoca fotografía de cuarto oscuro; negros profundos","CLP","17490","17.490","60","60x30cm","60","30","60","30","False"
"canson_platine_fibre_rag_310","Canson Platine Fibre Rag 310grs","semi brillante (algodón)","Museo","100% algodón","310","acabado baritado, negros profundos","CLP","20490","20.490","60","60x30cm","60","30","60","30","False"
"felix_schoeller_watercolor_rag_310","Felix Schoeller Watercolor Rag 310grs","texturado mate (algodón)","Museo","100% algodón","310","texturado tipo acuarela","CLP","17490","17.490","60","60x30cm","60","30","60","30","False"
"felix_schoeller_smooth_200","Felix Schoeller Smooth 200grs","mate","Studio/Photo","alfa-celulosa","200","acabado liso y opaco","CLP","14490","14.490","60","60x35cm","60","35","60","35","False"
"felix_schoeller_satin_240","Felix Schoeller Satin 240grs","semi brillante satinado","Studio/Photo","alfa-celulosa","240","semi brillo que refleja menos que fotográfico","CLP","14990","14.990","60","60x35cm","60","35","60","35","False"
"hahnemuhle_photo_luster_260","Hahnemühle Photo Luster 260grs","semi brillante (luster)","Studio/Photo","alfa-celulosa","260","tipo fotográfico, textura perlada suave","CLP","15990","15.990","60","60x35cm","60","35","60","35","False"
"canson_edition_etching_rag_310","Canson Edition Etching Rag 310grs","mate grano fino","Museo","100% algodón","310","textura de grano fino","CLP","22990","22.990","60","60x35cm","60","35","60","35","False"
"felix_schoeller_baryta_310","Felix Schoeller Baryta 310grs","baritado (baryta)","Museo","algodón (según proveedor)","310","evoca fotografía de cuarto oscuro; negros profundos","CLP","19990","19.990","60","60x35cm","60","35","60","35","False"
"canson_platine_fibre_rag_310","Canson Platine Fibre Rag 310grs","semi brillante (algodón)","Museo","100% algodón","310","acabado baritado, negros profundos","CLP","22990","22.990","60","60x35cm","60","35","60","35","False"
"felix_schoeller_watercolor_rag_310","Felix Schoeller Watercolor Rag 310grs","texturado mate (algodón)","Museo","100% algodón","310","texturado tipo acuarela","CLP","19990","19.990","60","60x35cm","60","35","60","35","False"
"felix_schoeller_smooth_200","Felix Schoeller Smooth 200grs","mate","Studio/Photo","alfa-celulosa","200","acabado liso y opaco","CLP","16490","16.490","60","50x40cm","50","40","60","40","True"
"felix_schoeller_satin_240","Felix Schoeller Satin 240grs","semi brillante satinado","Studio/Photo","alfa-celulosa","240","semi brillo que refleja menos que fotográfico","CLP","16490","16.490","60","50x40cm","50","40","60","40","True"
"hahnemuhle_photo_luster_260","Hahnemühle Photo Luster 260grs","semi brillante (luster)","Studio/Photo","alfa-celulosa","260","tipo fotográfico, textura perlada suave","CLP","17990","17.990","60","50x40cm","50","40","60","40","True"
"canson_edition_etching_rag_310","Canson Edition Etching Rag 310grs","mate grano fino","Museo","100% algodón","310","textura de grano fino","CLP","25990","25.990","60","50x40cm","50","40","60","40","True"
"felix_schoeller_baryta_310","Felix Schoeller Baryta 310grs","baritado (baryta)","Museo","algodón (según proveedor)","310","evoca fotografía de cuarto oscuro; negros profundos","CLP","21990","21.990","60","50x40cm","50","40","60","40","True"
"canson_platine_fibre_rag_310","Canson Platine Fibre Rag 310grs","semi brillante (algodón)","Museo","100% algodón","310","acabado baritado, negros profundos","CLP","25990","25.990","60","50x40cm","50","40","60","40","True"
"felix_schoeller_watercolor_rag_310","Felix Schoeller Watercolor Rag 310grs","texturado mate (algodón)","Museo","100% algodón","310","texturado tipo acuarela","CLP","21990","21.990","60","50x40cm","50","40","60","40","True"
"felix_schoeller_smooth_200","Felix Schoeller Smooth 200grs","mate","Studio/Photo","alfa-celulosa","200","acabado liso y opaco","CLP","16490","16.490","60","60x40cm","60","40","60","40","False"
"felix_schoeller_satin_240","Felix Schoeller Satin 240grs","semi brillante satinado","Studio/Photo","alfa-celulosa","240","semi brillo que refleja menos que fotográfico","CLP","16490","16.490","60","60x40cm","60","40","60","40","False"
"hahnemuhle_photo_luster_260","Hahnemühle Photo Luster 260grs","semi brillante (luster)","Studio/Photo","alfa-celulosa","260","tipo fotográfico, textura perlada suave","CLP","17990","17.990","60","60x40cm","60","40","60","40","False"
"canson_edition_etching_rag_310","Canson Edition Etching Rag 310grs","mate grano fino","Museo","100% algodón","310","textura de grano fino","CLP","25990","25.990","60","60x40cm","60","40","60","40","False"
"felix_schoeller_baryta_310","Felix Schoeller Baryta 310grs","baritado (baryta)","Museo","algodón (según proveedor)","310","evoca fotografía de cuarto oscuro; negros profundos","CLP","21990","21.990","60","60x40cm","60","40","60","40","False"
"canson_platine_fibre_rag_310","Canson Platine Fibre Rag 310grs","semi brillante (algodón)","Museo","100% algodón","310","acabado baritado, negros profundos","CLP","25990","25.990","60","60x40cm","60","40","60","40","False"
"felix_schoeller_watercolor_rag_310","Felix Schoeller Watercolor Rag 310grs","texturado mate (algodón)","Museo","100% algodón","310","texturado tipo acuarela","CLP","21990","21.990","60","60x40cm","60","40","60","40","False"
"felix_schoeller_smooth_200","Felix Schoeller Smooth 200grs","mate","Studio/Photo","alfa-celulosa","200","acabado liso y opaco","CLP","17990","17.990","60","60x45cm","60","45","60","45","False"
"felix_schoeller_satin_240","Felix Schoeller Satin 240grs","semi brillante satinado","Studio/Photo","alfa-celulosa","240","semi brillo que refleja menos que fotográfico","CLP","18490","18.490","60","60x45cm","60","45","60","45","False"
"hahnemuhle_photo_luster_260","Hahnemühle Photo Luster 260grs","semi brillante (luster)","Studio/Photo","alfa-celulosa","260","tipo fotográfico, textura perlada suave","CLP","19490","19.490","60","60x45cm","60","45","60","45","False"
"canson_edition_etching_rag_310","Canson Edition Etching Rag 310grs","mate grano fino","Museo","100% algodón","310","textura de grano fino","CLP","28490","28.490","60","60x45cm","60","45","60","45","False"
"felix_schoeller_baryta_310","Felix Schoeller Baryta 310grs","baritado (baryta)","Museo","algodón (según proveedor)","310","evoca fotografía de cuarto oscuro; negros profundos","CLP","24490","24.490","60","60x45cm","60","45","60","45","False"
"canson_platine_fibre_rag_310","Canson Platine Fibre Rag 310grs","semi brillante (algodón)","Museo","100% algodón","310","acabado baritado, negros profundos","CLP","28490","28.490","60","60x45cm","60","45","60","45","False"
"felix_schoeller_watercolor_rag_310","Felix Schoeller Watercolor Rag 310grs","texturado mate (algodón)","Museo","100% algodón","310","texturado tipo acuarela","CLP","24490","24.490","60","60x45cm","60","45","60","45","False"
"felix_schoeller_smooth_200","Felix Schoeller Smooth 200grs","mate","Studio/Photo","alfa-celulosa","200","acabado liso y opaco","CLP","19490","19.490","60","60x50cm","60","50","60","50","False"
"felix_schoeller_satin_240","Felix Schoeller Satin 240grs","semi brillante satinado","Studio/Photo","alfa-celulosa","240","semi brillo que refleja menos que fotográfico","CLP","19990","19.990","60","60x50cm","60","50","60","50","False"
"hahnemuhle_photo_luster_260","Hahnemühle Photo Luster 260grs","semi brillante (luster)","Studio/Photo","alfa-celulosa","260","tipo fotográfico, textura perlada suave","CLP","21490","21.490","60","60x50cm","60","50","60","50","False"
